"Boro.Block.Lot","Condo.Section","Address","Neighborhood","Building.Classification","Total.Units","Year.Built","Gross.SqFt","Estimated.Gross.Income","Gross.Income.per.SqFt","Estimated.Expense","Expense.per.SqFt","Net.Operating.Income","Full.Market.Value","Market.Value.per.SqFt","Report.Year"
"3-02456-7502","2774-R1","400 BEDFORD AVENUE","WILLIAMSBURG-SOUTH","RR  -CONRENT",11,2009,7291,258539,35.46,142175,19.5,116364,945000,129.61,2019
"1-00928-7505","2740-R1","385 1 AVENUE","KIPS BAY","R4    -ELEVATOR",114,2002,136657,8464535,61.94,2692143,19.7,5772392,45924000,336.05,2023
"4-03547-7501","0675-R1","852 CYPRESS AVENUE","RIDGEWOOD","R2  -WALK-UP",19,2010,19400,826246,42.59,300700,15.5,525546,4277000,220.46,2021
"3-02417-7501","1383-R1","120 SOUTH 2 STREET","WILLIAMSBURG-SOUTH","R4-ELEVATOR",17,2004,23760,635342,26.74,300802,12.66,334540,2676000,112.63,2017
"3-00942-7501","0651-R1","121 STERLING PLACE","PARK SLOPE","R2-WALK-UP",10,1920,27213,979396,35.99,394861,14.51,584535,4675999,171.83,2017
"3-01710-7501","2757-R1","1825 ATLANTIC AVENUE","BEDFORD STUYVESANT","RR-CONDOMINIUM",150,2008,153706,4303768,28,1206592,7.85,3097176,23616000,153.64,2014
"3-02884-7501","3793-R1","179 WOODPOINT ROAD","WILLIAMSBURG-EAST","R4  -ELEVATOR",14,2009,8333,270406,32.45,109496,13.14,160910,1297000,155.65,2020
"3-01276-7501","0287-R1","1229 PRESIDENT STREET","CROWN HEIGHTS","R2    -WALK-UP",12,1987,22128,518016,23.41,186539,8.43,331477,2604000,117.68,2023
"1-00095-7501","0118-R1","117 BEEKMAN STREET","SOUTHBRIDGE","R4-ELEVATOR",22,1983,37170,1352616,36.39,353487,9.51,999129,7992001,215.01,2017
"3-02782-7501","1880-R1","134 POWERS STREET","WILLIAMSBURG-EAST","R2-WALK-UP",20,2005,25216,412029,16.34,198954,7.89,213075,1560000,61.87,2016
"3-01763-7502","1168-R1","209 SPENCER STREET","BEDFORD STUYVESANT","R4-CONDOMINIUM",18,2004,24200,513282,21.21,119790,4.95,393492,2877000,118.88,2012
"1-02132-7501","2122-R1","2360 AMSTERDAM AVENUE","WASHINGTON HEIGHTS LOWER","R4  -ELEVATOR",28,2007,38351,836819,21.82,337105,8.79,499714,3936000,102.63,2021
"3-03063-7501","1505-R1","204 MONTROSE AVENUE","WILLIAMSBURG-EAST","R2-CONDOMINIUM",8,1920,9500,205770,21.66,67165,7.07,138605,1048003,110.32,2015
"1-00572-7502","1256-R1","30 WEST 9 STREET","GREENWICH VILLAGE-CENTRAL","R2-CONDOMINIUM",18,1900,14398,436128,30.29,139917,9.72,296211,2259003,156.9,2014
"1-00540-7501","0567-R1","173 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","R9  -CONDOPS",18,1900,15744,557338,35.4,193179,12.27,364159,2958000,187.88,2019
"1-00822-7506","2368-R1","21 WEST 20 STREET","FLATIRON","R4  -ELEVATOR",12,2014,36491,2061742,56.5,587505,16.1,1474237,11866001,325.18,2018
"1-00298-7503","2020-R1","21 LUDLOW STREET","LOWER EAST SIDE","R4  -ELEVATOR",23,1910,17899,825502,46.12,239489,13.38,586013,4726000,264.04,2020
"3-02721-7503","1971-R1","20 BAYARD STREET","GREENPOINT","R4  -ELEVATOR",62,2005,82265,2227736,27.08,936176,11.38,1291560,10395990,126.37,2018
